Date,Open,High,Low,Close,Adj Close,Volume
2009-11-01,563.750000,605.440002,553.309998,579.729980,579.729980,84981530000
2009-12-01,582.989990,635.989990,582.989990,625.390015,625.390015,89515330000
2010-01-01,628.109985,649.150024,600.530029,602.039978,602.039978,90947580000
2010-02-01,602.219971,633.549988,580.489990,628.559998,628.559998,84561340000
2010-03-01,630.609985,693.320007,630.609985,678.640015,678.640015,103683550000
2010-04-01,681.570007,745.950012,677.750000,716.599976,716.599976,116741910000
2010-05-01,719.299988,732.869995,617.609985,661.609985,661.609985,127662780000
2010-06-01,657.539978,677.150024,607.289978,609.489990,609.489990,110106750000
2010-07-01,609.770020,672.159973,587.669983,650.890015,650.890015,94778110000
2010-08-01,657.419983,664.460022,588.580017,602.059998,602.059998,85738250000
2010-09-01,603.330017,684.590027,603.330017,676.140015,676.140015,79589450000
2010-10-01,680.950012,714.049988,665.989990,703.349976,703.349976,90148480000
2010-11-01,706.130005,738.989990,693.700012,727.010010,727.010010,87151070000
2010-12-01,734.979980,793.280029,734.700012,783.650024,783.650024,80984530000
2011-01-01,793.539978,807.890015,771.710022,781.250000,781.250000,92164940000
2011-02-01,785.289978,838.000000,785.289978,823.450012,823.450012,59223660000
2011-03-01,825.239990,843.729980,775.900024,843.549988,843.549988,89507640000
2011-04-01,847.869995,866.900024,816.070007,865.289978,865.289978,77364810000
2011-05-01,865.590027,868.570007,807.929993,848.299988,848.299988,81708980000
2011-06-01,846.539978,846.650024,772.619995,827.429993,827.429993,86122730000
2011-07-01,828.250000,860.369995,783.169983,797.030029,797.030029,81102170000
2011-08-01,803.820007,808.599976,639.849976,726.809998,726.809998,108419170000
2011-09-01,727.039978,734.059998,634.710022,644.159973,644.159973,102786820000
2011-10-01,639.729980,769.460022,601.710022,741.059998,741.059998,98063670000
2011-11-01,725.469971,756.760010,666.159973,737.419983,737.419983,84275050000
2011-12-01,734.510010,753.190002,705.780029,740.919983,740.919983,75366190000
2012-01-01,750.700012,800.219971,736.780029,792.820007,792.820007,79567560000
2012-02-01,796.989990,833.020020,796.989990,810.940002,810.940002,78385710000
